Symbol,Description
JAGSNPHARM,Jagsonpal Pharmaceuticals Ltd.
GPTINFRA,GPT Infraprojects Limited
SHALBY,Shalby Ltd.
MMWL,Media Matrix Worldwide Limited
BLIL,Balmer Lawrie Investments Limited
MANALIPETC,Manali Petrochemicals Limited
GNRL,Gujarat Natural Resources Limited
INDOBORAX,Indo Borax & Chemicals Limited
MTNL,Mahanagar Telephone Nigam Limited
CEINSYS,Ceinsys Tech Ltd
RHETAN,Rhetan TMT Ltd.
MODISONLTD,Modison Limited
INFOBEAN,InfoBeans Technologies Ltd.
MCLOUD,Magellanic Cloud Ltd.
HINDWAREAP,Hindware Home Innovation Limited
AVADHSUGAR,Avadh Sugar & Energy Ltd.
CLSEL,Chaman Lal Setia Exports Limited
BHAGYANGR,Bhagyanagar India Limited
MBEL,M & B Engineering Limited
TEXINFRA,Texmaco Infrastructure & Holdings Limited
VIKRAN,Vikran Engineering Limited
AMRUTANJAN,Amrutanjan Health Care Limited
GTLINFRA,GTL Infrastructure Ltd
ANDHRAPAP,Andhra Paper Ltd.
GKSL,Gujarat Kidney & Super Speciality Ltd.
SIGNPOST,Signpost India Limited
PANORAMA,Panorama Studios International Ltd
MANAKCOAT,Manaksia Coated Metals & Industries Ltd
STEELXIND,Steel Exchange India Limited
IFGLEXPOR,IFGL Refractories Ltd.
SPMLINFRA,SPML Infra Limited
MBECL,McNally Bharat Engineering Co. Ltd.
BENARAS,Benares Hotels Limited
AHCL,Anlon Healthcare Limited
BIL,Bhartiya International Limited
FERMENTA,Fermenta Biotech Ltd
RAMBHAJO,Advit Jewels Limited
IZMO,IZMO Limited
FRONTSP,Frontier Springs Limited.
AEROENTER,Aeroflex Enterprises Ltd
PNBGILTS,PNB Gilts Limited
AVTNPL,AVT Natural Products Limited
INVPRECQ,Investment & Precision Castings Limited
EXPLEOSOL,Expleo Solutions Limited
KOPRAN,Kopran Limited
WALCHANNAG,Walchandnagar Industries Limited
DPEL,Divine Power Energy Ltd.
SPIC,Southern Petrochemical Industries Corporation Limited
JAGRAN,Jagran Prakashan Limited
GPTHEALTH,GPT Healthcare Limited
ALLTIME,All Time Plastics Limited
SHANKESH,Shankesh Jewellers Limited
SDBL,Som Distilleries & Breweries Ltd.
DCW,DCW Ltd.
ELITECON,Elitecon International Ltd.
SUNSHINE,Sunshine Pictures Limited
IMPAL,India Motor Parts & Accessories Limited
NAVKARCORP,Navkar Corporation Ltd
GALAPREC,Gala Precision Engineering Limited
IGARASHI,Igarashi Motors India Limited
BHARATSE,Bharat Seats Limited
PUNJABCHEM,Punjab Chemicals & Crop Protection Ltd.
NINSYS,NINtec Systems Ltd
UDS,Updater Services Limited
ARROWGREEN,Arrow Greentech Limited
EIMCOELECO,Eimco Elecon (India) Ltd.
DSSL,Dynacons Systems & Solutions Ltd.
ASALCBR,Associated Alcohols & Breweries Ltd.
GYFTR,Gyftr Ltd
ANDREWYU,Andrew Yule & Co. Ltd.
ANDHRSUGAR,Andhra Sugars Limited
CAPITALSFB,Capital Small Finance Bank Limited
ONIDA,Onida Electronics Ltd
UGROCAP,Ugro Capital Limited
ULTRAMAR,Ultramarine & Pigments Limited
PASHUPATI,Pashupati Cotspin Ltd.
MWL,Mangalam Worldwide Ltd.
DEN,DEN Networks Limited
ONIXSOLAR,Onix Solar Energy Ltd.
CENTENKA,Century Enka Limited
DIGITIDE,Digitide Solutions Ltd
FEDDERSHOL,Fedders Holding Ltd
ATULAUTO,Atul Auto Ltd
NIITLTD,NIIT Limited
GODAVARIB,Godavari Biorefineries Limited
GHCLTEXTIL,Ghcl Textiles Ltd.
STEL,STEL Holdings Limited
IRISDOREME,Iris Clothings Ltd.
COMSYN,Commercial Syn Bags Limited
SHRIRAMPPS,Shriram Properties Ltd.
SOLARWORLD,Solarworld Energy Solutions Limited
MMP,MMP Industries Ltd.
LINCOLN,Lincoln Pharmaceuticals Ltd
KALAMANDIR,Sai Silks (Kalamandir) Ltd.
IVALUE,Ivalue Infosolutions Limited
ALICON,Alicon Castalloy Limited
3BBLACKBIO,3B BlackBio Dx Ltd
SKMEGGPROD,SKM Egg Products Export (India) Ltd.
EXCELINDUS,Excel Industries Limited
SALSTEEL,S.A.L. Steel Ltd.
HMAAGRO,HMA Agro Industries Limited
KAMDHENU,Kamdhenu Limited
FLYSBS,FlySBS Aviation Limited
JAYBARMARU,Jay Bharat Maruti Limited
ALLDIGI,Alldigi Tech Ltd
ASTAR,Asian Star Co. Ltd.
SIGACHI,Sigachi Industries Limited
PRANAV,Pranav Constructions Limited
VALIANTORG,Valiant Organics Limited
ROTO,Roto Pumps Limited
DOLATALGO,Dolat Algotech Limited
TNPETRO,Tamilnadu Petro Products Ltd.
BHARATWIRE,Bharat Wire Ropes Ltd.
BLKASHYAP,B.L. Kashyap & Sons Ltd.
SACHEEROME,Sacheerome Limited
REMUS,Remus Pharmaceuticals Ltd.
SAFEENTP,Safe Enterprises Retail Fixtures Ltd.
ELECTHERM,Electrotherm (India) Limited
BIRLACABLE,Birla Cable Limited
DHANBANK,Dhanlaxmi Bank Ltd
ARIS,ArisInfra Solutions Limited
AKCAPIT,A. K. Capital Services Ltd.
PLATIND,Platinum Industries Limited
PRIZOR,Prizor Viztech Ltd.
TGVSL,TGV SRAAC Ltd
GAYAPROJ,Gayatri Projects Limited
BALAJITELE,Balaji Telefilms Limited
THEMISMED,Themis Medicare Limited
RAJRILTD,Raj Rayon Industries Limited
ZSARACOM,Saraswati Commercial (India) Ltd.
SUNRAKSHAK,Sunrakshakk Industries India Ltd
MATRIMONY,Matrimony.com Ltd.
JINDALPHOT,Jindal Photo Limited
SULA,Sula Vineyards Ltd.
BAJAJHCARE,Bajaj Healthcare Ltd
FINOPB,FINO Payments Bank Ltd.
EKC,Everest Kanto Cylinder Limited
PCCL,Petro Carbon & Chemicals Ltd
IRMENERGY,Irm Energy Limited
HARIOMPIPE,Hariom Pipe Industries Ltd.
PRECAM,Precision Camshafts Ltd.
MONTECARLO,Monte Carlo Fashions Ltd.
SHRIAHIMSA,Shri Ahimsa Naturals Limited
ANAWIL,Anawil Wire & Engineering Ltd.
GANDHITUBE,Gandhi Special Tubes Limited
SUBEXLTD,Subex Limited
APEX,Apex Frozen Foods Ltd.
ICEMAKE,Ice Make Refrigeration Ltd.
RUPA,Rupa & Co. Ltd.
RSWM,RSWM Ltd
TCC,TCC Concept Ltd
JYOTISTRUC,Jyoti Structures Ltd.
ORIENTTECH,Orient Technologies Limited
UNITECH,Unitech Limited
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
MASTERTR,Master Trust Limited
TSFINV,TSF INVESTMENTS LIMITED
TEMBO,Tembo Global Industries Ltd.
LAXMIDENTL,Laxmi Dental Ltd.
NRAIL,NR Agarwal Industries Ltd.
RIIL,Reliance Industrial Infrastructure Limited
VHL,Vardhman Holdings Limited
BOROSCI,Borosil Scientific Limited
BPLPHARMA,Bharat Parenterals Ltd.
CENTRUM,Centrum Capital Limited
WAAREEINDO,Indosolar Limited
UNIHEALTH,Unihealth Hospitals Ltd
GREENPOWER,Orient Green Power Company Ltd
GRPLTD,GRP Ltd
SUNSHIEL,Sunshield Chemicals Limited
FAZE3Q,Faze Three Ltd.
MUNJALAU,Munjal Auto Industries Limited
GULPOLY,Gulshan Polyols Limited
JARO,Jaro Institute of Technology Management and Research Limited
MVGJL,Manoj Vaibhav Gems 'N' Jewellers Limited
BIRLANU,Birlanu Limited
ONEGLOBAL,One Global Service Provider Ltd.
KRISHIVAL,Krishival Foods Limited
ACGL,Automobile Corporation of Goa Limited
NRL,Nupur Recyclers Limited
UNITEDPOLY,United Polyfab Gujarat Ltd
ARIHANT,Arihant Foundations & Housing Limited
DHAMPURSUG,Dhampur Sugar Mills Limited
CREST,Crest Ventures Limited
SYSTMTXC,Systematix Corporate Services Limited
SURAJEST,Suraj Estate Developers Limited
INDPRUD,Industrial & Prudential Investment Co. Ltd.
SEKURITIND,Saint-Gobain Sekurit India Ltd.
AWHCL,Antony Waste Handling Cell Ltd.
WEL,Wonder Electricals Limited
BUTTERFLY,Butterfly Gandhimathi Appliances Limited
AFSL,Abans Financial Services Ltd
JPOLYINVST,Jindal Poly Investment and Finance Co. Ltd.
HITECHGEAR,Hi-Tech Gears Limited
PRIMESECU,Prime Securities Limited
JYOTIRES,Jyoti Resins & Adhesives Ltd.
TNPL,Tamil Nadu Newsprint & Papers Ltd.
FRESHARA,Freshara Agro Exports Limited
NAHARSPING,Nahar Spinning Mills Ltd
TEJASCARGO,Tejas Cargo India Limited
TAC,TAC Infosec Limited
FINKURVE,Finkurve Financial Services Ltd.
MAMATA,Mamata Machinery Ltd.
ARIHANTSUP,Arihant Superstructures Limited
DVL,Dhunseri Ventures Limited
SHREDIGCEM,Shree Digvijay Cement Co. Ltd.
RMDRIP,R M Drip And Sprinklers Systems Limited
BCLIND,BCL Industries Ltd
MADRASFERT,Madras Fertilizers Ltd
WCIL,Western Carriers (India) Limited
5PAISA,5paisa Capital Ltd.
UTTAMSUGAR,Uttam Sugar Mills Limited
RAJOOENG,Rajoo Engineers Limited
CONSOFINVT,Consolidated Finvest & Holdings LTd
DAMCAPITAL,DAM Capital Advisors Ltd.
SALZERELEC,Salzer Electronics Limited
SRM,SRM Contractors Ltd.
INDOAMIN,Indo Amines Limited
SSEGL,Sathlokhar Synergys E&C Global Limited
CONTROLPR,Control Print Limited
DHARMAJ,Dharmaj Crop Guard Ltd.
ZUARI,Zuari Agro Chemicals Ltd.
HEALTHX,Health X Platform Ltd
AMNPLST,Amines & Plasticizers Ltd.
EXCELSOFT,Excelsoft Technologies Limited
ANUHPHR,Anuh Pharma Limited
NELCAST,Nelcast Limited
SVLL,Shree Vasu Logistics Ltd.
PDMJEPAPER,Pudumjee Paper Products Ltd.
AMBIKCO,Ambika Cotton Mills Limited
VIESL,Vision Infra Equipment Solutions Limited
SGIL,Synergy Green Industries Ltd.
TIRUPATIFL,Tirupati Forge Ltd.
SGRL,Shree Ganesh Remedies Ltd.
SUDARCOLOR,Sudarshan Colorants India Ltd
UNIECOM,Unicommerce eSolutions Limited
KRYSTAL,Krystal Integrated Services Ltd.
GANESHBE,Ganesh Benzoplast Limited
ESTER,Ester Industries Limited
BSHSL,Bombay Super Hybrid Seeds Ltd.
VILAS,Vilas Transcore Limited
VADILENT,Vadilal Enterprises Limited
ARIHANTCAP,Arihant Capital Markets Limited
HEXATRADEX,Hexa Tradex Limited
VELJAN,Veljan Denison Limited
SAHANA,Sahana System Limited
AMAL,Amal Ltd.
LGHL,Laxmi Goldorna House Ltd.
SAHASRA,Sahasra Electronic Solutions Limited
MAFATIND,Mafatlal Industries Limited
WEALTH,Wealth First Portfolio Managers Ltd.
RADHIKAJWE,Radhika Jeweltech Ltd
MCCHRLS_B,Mac Charles India Ltd.
VINSYS,Vinsys IT Services India Private Limited
SWELECTES,Swelect Energy Systems Limited
LIKHITHA,Likhitha Infrastructure Ltd
REGAAL,Regaal Resources Limited
ORICONENT,Oricon Enterprises Limited
SADHNANIQ,Sadhana Nitro Chem Limited
TANKUP,Tankup Engineers Limited
SALASAR,Salasar Techno Engineering Ltd.
MAXIND,Max India Ltd
BAHETI,Baheti Recycling Industries Limited
MUKKA,Mukka Proteins Limited
ROHLTD,Royal Orchid Hotels Limited
PREMIERPOL,Premier Polyfilm Limited
RNFI,RNFI Services Ltd.
PRECOT,Precot Ltd.
CHEMCON,Chemcon Speciality Chemicals Ltd
SEPC,SEPC Limited
EFFWA,Effwa Infra & Research Ltd.
BEEKAY,Beekay Steel Industries Ltd.
VISAKAIND,Visaka Industries Ltd.
QUICKHEAL,Quick Heal Technologies Ltd.
PRADPME,Pradeep Metals Limited
GAUDIUMIVF,Gaudium IVF & Women Health Ltd.
TANAA,Taneja Aerospace & Aviation Ltd.
HEXAGON,Hexagon Nutrition Limited
IFBAGRO,IFB Agro Industries Ltd.
ECORECO,Eco Recycling Limited
RITCO,Ritco Logistics Ltd.
MICEL,MIC Electronics Limited
NCLIND,NCL Industries Ltd
NDTV,New Delhi Television Limited
ZUARIIND,Zuari Industries Limited
WELINV,Welspun Investments & Commercials Ltd.
FAIRCHEMOR,Fairchem Organics Ltd
KOTHARIPET,Kothari Petrochemicals Ltd.
PROZONER,Prozone Realty Ltd
GEECEE,GeeCee Ventures Limited
WANBURY,Wanbury Limited
STERTOOLS,Sterling Tools Limited
UPHOT,U P Hotels Limited
DECCANCE,Deccan Cements Ltd
KANORICHEM,Kanoria Chemicals & Industries Ltd
HIMATSEIDE,Himatsingka Seide Limited.
CIFL,Capital India Finance Ltd
KECL,Kirloskar Electric Co. Ltd.
GEMAROMA,Gem Aromatics Limited
BORANA,Borana Weaves Limited
ORIRAIL,Oriental Rail Infrastructure Ltd.
SARLAPOLY,Sarla Performance Fibers Limited
SUPREMEINF,Supreme Infrastructure India Limited
ISTLTD,IST Ltd
BAFNAPH,Bafna Pharmaceuticals Limited
SEJALLTD,Sejal Glass Limited
PARIN,Parin Enterprises Limited
SANDESH,Sandesh Limited
ABINFRA,A B Infrabuild Ltd
20MICRONS,20 Microns Limited
SCODATUBES,Scoda Tubes Ltd.
STANLEY,Stanley Lifestyles Ltd.
ELDEHSG,Eldeco Housing & Industries Ltd.
HALDYNGL,Haldyn Glass Limited
KOKUYOCMLN,Kokuyo Camlin Limited
OMINFRAL,Om Infra Limited
SUYOG,Suyog Telematics Ltd.
OCCLLTD,OCCL Limited
DWARKESH,Dwarikesh Sugar Industries Ltd.
SWARAJ,Swaraj Suiting Limited
MERCURYEV,Mercury Ev-Tech Limited
PROSTARM,Prostarm Info Systems Limited
SICALLOG,Sical Logistics Limited.
DBOL,Dhampur Bio Organics Ltd
GICHSGFIN,GIC Housing Finance Limited
ARYAMAN,Aryaman Financial Services Limited
SOLEX,Solex Energy Ltd.
VASCONEQ,Vascon Engineers Limited
LOTUSCHO,Lotus Chocolate Co. Ltd.
VIVIANA,Viviana Power Tech Limited
MEIL,Mangal Electrical Industries Limited
DENTA,Denta Water and Infra Solutions Limited
LOKESHMACH,Lokesh Machines Ltd
TVSELECT,TVS Electronics Limited
YOGI,Yogi Limited
VLSFINANCE,V L S Finance Limited
TRANSPEK,Transpek Industry Limited
AMANTA,Amanta Healthcare Limited
JITFINFRA,JITF Infralogistics Ltd.
KARNIKA,Karnika Industries Ltd.
KELLTONTEC,Kellton Tech Solutions Ltd.
PATILAUTOM,Patil Automation Ltd.
RAMASTEEL,Rama Steel Tubes Ltd.
PARTH,Parth Electricals & Engineering Limited
PERMAGN,Permanent Magnets Limited
ZIMLAB,Zim Laboratories Ltd.
BAJAJST,Bajaj Steel Industries Limited
CHEMBONDCH,Chembond Chemicals Limited
SUNLITE,Sunlite Recycling Industries Limited
DMCC,DMCC Speciality Chemicals Limited
ASAL,Automotive Stampings & Assemblies Ltd.
RAJPALAYAM,Rajapalayam Mills Limited
KILITCH,Kilitch Drugs (India) Limited
SOFTTECH,SoftTech Engineers Ltd.
PVSL,Popular Vehicles and Services Limited
RBZJEWEL,RBZ Jewellers Limited
MANAKSTEEL,Manaksia Steels Ltd
ATLPP.E1,Allcargo Terminals Limited
ATL,Allcargo Terminals Limited
JAYAGROGN,Jayant Agro-Organics Limited
KUANTUM,Kuantum Papers Limited
EMKAY,Emkay Global Financial Services Limited
KAMATHOTEL,Kamat Hotels (India) Ltd
ABSMARINE,ABS Marine Services Ltd.
SPECIALITY,Speciality Restaurants Ltd.
ADVANCE,Advance Agrolife Ltd.
NEUEON,Neueon Corporation Limited
AXTEL,Axtel Industries Limited
VALIANTLAB,Valiant Laboratories Ltd.
GANESHCP,Ganesh Consumer Products Limited
EMAMIPAP,Emami Paper Mills Limited
ENKEIWHEL,Enkei Wheels (India) Limited
TUTIALKA,Tuticorin Alkali Chemicals & Fertilizers Limited
MAGADSUGAR,Magadh Sugar & Energy Ltd.
MANBA,Manba Finance Limited
VEEGALAND,Veegaland Developers Limited
SUMEETINDS,Sumeet Industries Limited
INDOFARM,Indo Farm Equipment Ltd.
HTEL,Hy-Tech Engineers Limited
BAJAJINDEF,Indef Manufacturing Limited
ADVENTHTL,Advent Hotels International Limited
SCPL,Sheetal Cool Products Ltd.
BLAL,BEML Land Assets Limited
DPSCLTD,India Power Corp. Ltd.
XCHANGING,Xchanging Solutions Limited
CHEVIOT,Cheviot Co. Ltd.
BIRLAMONEY,Aditya Birla Money Limited
PATELRMART,Patel Retail Limited
SATIA,Satia Industries Ltd
MODIS,Modi's Navnirman Ltd.
SHALPAINTS,Shalimar Paints Ltd
HERANBA,Heranba Industries Limited
STCINDIA,State Trading Corporation of India Limited
GLOBAL,Global Education Ltd.
KRONOX,Kronox Lab Sciences Limited
PRAVEG,Praveg Limited
DENTALKART,Vasa Denticity Limited
ECOSMOBLTY,ECOS (India) Mobility & Hospitality Limited
BESTAGRO,Best Agrolife Ltd.
FABTECH,Fabtech Technologies Limited
KRMAYURVED,KRM Ayurveda Ltd.
TREL,TransIndia Real Estate Limited
UNIVPHOTO,Universus Photo Imagings Ltd
EVERESTIND,Everest Industries Limited
LAXMIINDIA,Laxmi India Finance Limited
PPL,Prakash Pipes Limited
CREDENT,Credent Connect N Care Limited
SAAKSHI,Saakshi Medtech and Panels Limited
AHLWEST,Asian Hotels (West) Limited
CELLECOR,Cellecor Gadgets Limited
EIFFL,Euro India Fresh Foods Ltd.
SREEL,Sreeleathers Ltd.
ONWARDTEC,Onward Technologies Limited
SHINDL,Sharat Industries Ltd
SHIVAUM,Shiv Aum Steels Ltd.
UNIENTER,Uniphos Enterprises Limited
TVTODAY,TV Today Network Ltd.
INFLUX,Influx Healthtech Limited
PROV,Proventus Agrocom Ltd.
COFFEEDAY,Coffee Day Enterprises Ltd
EMPIND,Empire Industries Ltd. (India)
PASUPTAC,Pasupati Acrylon Limited
GLOSTERLTD,Gloster Ltd.
SUTLEJTEX,Sutlej Textiles & Industries Ltd.
GFLLIMITED,GFL Ltd
VOITHPAPR,Voith Paper Fabrics India Limited
INNOVANA,Innovana Thinklabs Ltd.
MAANALU,Maan Aluminium Limited
UGARSUGAR,Ugar Sugar Works Ltd
SHIVALIK,Shivalik Rasayan Ltd
ZFSTEERING,Z F Steering Gear (India) Limited
HARDWYN,Hardwyn India Ltd.
KANPRPLA,Kanpur Plastipack Limited
GTPL,GTPL Hathway Ltd
FOCE,Foce India Limited
AGARIND,Agarwal Industrial Corporation Limited
ARIES,Aries Agro Ltd.
SPELS,SPEL Semiconductor Limited
CCCL,Consolidated Construction Consortium Limited
DCMSIL,DCM Shriram International Limited
MALLCOM,Mallcom (India) Ltd.
NAMOEWASTE,Namo eWaste Management Ltd.
INNOVISION,Innovision Limited
ORBTEXP,Orbit Exports Ltd
HMVL,Hindustan Media Ventures Limited
DHUNINV,Dhunseri Investments Limited
KSOLVES,Ksolves India Ltd
SHRADDHA,Shraddha Prime Projects Limited
SAURASHCEM,Saurashtra Cement Limited
ZTECH,Z-Tech (India) Ltd.
SNOWMAN,Snowman Logistics Ltd
OMPOWER,Om Power Transmission Ltd.
ORIENTBELL,Orient Bell Limited
PANCHMAHQ,Panchmahal Steel Ltd
ANLON,Anlon Technology Solutions Limited
CEWATER,Concord Enviro Systems Limited
PYRAMID,Pyramid Technoplast Ltd.
KSE,KSE Ltd.
SHREERAMA,Shree Rama Multi-Tech Limited
KIRANVYPAR,Kiran Vyapar Ltd.
MOLDTECH,Mold-Tek Technologies Limited
DICIND,DIC India Limited
NAHARINDUS,Nahar Industrial Enterprises Limited
E2ERAIL,E To E Transportation Infrastructure Limited
ORIENTCER,Orient Ceratech Ltd
BLACKROSE,Black Rose Industries Limited
OSELDEVICE,Osel Devices Limited
SOUTHWEST,South West Pinnacle Exploration Ltd.
BIGBLOC,BIGBLOC Construction Ltd
CSM,CSM Technologies Ltd.
VAKRANGEE,Vakrangee Limited
HINDCOMPOS,Hindustan Composites Limited
IL&FSENGG,IL&FS Engineering & Construction Co. Ltd.
TRITONV,Triton Valves Limited
HTMEDIA,HT Media Limited
HAZOOR,Hazoor Multi Projects Limited
NAHARPOLY,Nahar Poly Films Limited
APTECHT,Aptech Limited
SAYAJIHOTL,Sayaji Hotels Limited
ADSL,Allied Digital Services Limited
ONMOBILE,OnMobile Global Limited
SHRJAGP,Shri Jagdamba Polymers Ltd.
VIRAT,Virat Industries Limited
UNIVASTU,Univastu India Ltd.
LINC,Linc Limited
DHABRIYA,Dhabriya Polywood Ltd
GLOTTIS,Glottis Ltd.
PENINLAND,Peninsula Land Limited
LAKSHMIMIL,Lakshmi Mills Co. Ltd.
HITECHCORP,Hitech Corporation Ltd
PRIMO,Primo Chemicals Limited
BLUEWATER,Blue Water Logistics Limited
3IINFOLTD,3i Infotech Limited
CHANDAN,CHANDAN HEALTHCARE LIMITED
SUPREMEPWR,Supreme Power Equipment Ltd.
MGEL,Mangalam Global Enterprise Ltd.
KDGREEN,KD Green Industries Ltd
CHEMFAB,Chemfab Alkalis Ltd.
UDAYJEW,Uday Jewellery Industries Ltd.
MAZDA,Mazda Limited
GGBL,Ganesh Green Bharat Limited
OSWALGREEN,Oswal Greentech Ltd.
MUNJALSHOW,Munjal Showa Limited
SUKHJITS,Sukhjit Starch & Chemicals Ltd.
TPLPLASTEH,TPL Plastech Limited
KNAGRI,KN Agri Resources Ltd.
HPTL,HP Telecom India Limited
MINDTECK,Mindteck (India) Limited
PTL,PTL Enterprises Limited
IRIS,IRIS RegTech Solutions Limited
CSLFINANCE,CSL Finance Limited
KAYA,Kaya Limited
MANIKA,Manika Plastech Limited
THEINVEST,Investment Trust of India Limited
CONNPLEX,Connplex Cinemas Limited
SJLOGISTIC,S J Logistics (India) Limited
DCMSRIND,DCM Shriram Industries Limited
GPECO,GP Eco Solutions India Limited
MAWANASUG,Mawana Sugars Limited
MCLEODRUSS,McLeod Russel India Limited
PANSARI,Pansari Developers Ltd.
PLASTIBLEN,Plastiblends India Limited
ACSTECH,ACS Technologies Ltd
SILINV,SIL Investments Limited
INTLCONV,International Conveyors Ltd.
BBTCL,B&B Triplewall Containers Ltd.
SIGMA,Sigma Solve Ltd
SHARDUL,Shardul Securities Limited
MANCREDIT,Mangal Credit & Fincorp Ltd.
KHAICHEM,Khaitan Chemicals & Fertilizers Ltd.
ENIL,Entertainment Network (India) Limited
ALBERTDAVD,Albert David Ltd
MODINATUR,Modi Naturals Limited
NILASPACES,Nila Spaces Ltd.
AQYLON,Aqylon Nexus Limited
ZEEMEDIA,Zee Media Corp. Ltd.
NBIFIN,N.B.I. Industrial Finance Company Ltd
URJA,Urja Global Limited
MEGATHERM,Megatherm Induction Limited
MUFTI,Credo Brands Marketing Limited
RUSHIL,Rushil Decor Ltd.
SCHAND,S Chand And Company Limited
TAURIAN,Taurian MPS Limited
OPTIVALUE,Optivalue Tek Consulting Limited
RAMANEWS,Shree Rama Newsprint Ltd.
SINGERIND,Singer India Limited
VISACHROME,Visa Chrome Ltd
APS,Australian Premium Solar (India) Limited
VTMLTD,VTM Limited
OSWALAGRO,Oswal Agro Mills Ltd.
BRAHMINFRA,Brahmaputra Infrastructure Ltd.
ABCOTS,AB Cotspin India Ltd.
AKIKO,Akiko Global Services Ltd.
MOMSBELIEF,Rays of Belief Limited
CORDSCABLE,Cords Cable Industries Limited
SHIVACEM,Shiva Cement Ltd
SHERA,Shera Energy Limited
UNIDT,United Drilling Tools Limited
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited
SARVESHWAR,Sarveshwar Foods Ltd.
DISHTV,Dish TV India Limited
RKSWAMY,R K Swamy Limited
VISHAL,Vishal Fabrics Ltd
ASAHISONG,Asahi Songwon Colors Ltd.
IWARE,Iware Supplychain Services Limited
CHAVDA,Chavda Infra Limited
DCI,Dc Infotech And Communication Ltd
ELIN,Elin Electronics Limited
GUJAPOLLO,Gujarat Apollo Industries Limited
HALEOSLABS,Haleos Labs Ltd.
ADVANIHOTR,Advani Hotels & Resorts (India) Ltd.
HLVLTD,HLV Limited
INDOTHAI,Indo Thai Securities Limited
LANCER,Lancer Container Lines Ltd
NILE,Nile Limited
SANGINITA,Sanginita Chemicals Ltd.
AARTISURF,Aarti Surfactants Ltd.
BMWVENTLTD,Bmw Ventures Limited
JENBURPH,Jenburkt Pharmaceuticals Ltd
EUROBOND,Euro Panel Products Limited
DENORA,De Nora India Limited
RAMAPHO,Rama Phosphates Limited
DONEAR,Donear Industries Limited
SINCLAIR,Sinclairs Hotels Limited
MAXVOLT,Maxvolt Energy Industries Limited
FROG,Frog Innovations Limited
AMCL,ANB Metal Cast Limited
INFINIUM,Infinium Pharmachem Ltd.
MEDICAMEQ,Medicamen Biotech Limited
KRITINUT,Kriti Nutrients Limited
VRAJ,Vraj Iron & Steel Ltd.
WSI,W.S. Industries (India) Limited
REPRO,Repro India Limited
CYBERTECH,CyberTech Systems & Software Ltd.
PURPLEUTED,Purple United Sales Ltd.
VPRPL,Vishnu Prakash R Punglia Ltd.
ALUFLUOR,Alufluoride Ltd
SHETHJI,Shreeji Global FMCG Limited
POEL,POCL Enterprises Ltd
NDLVENTURE,NDL Ventures Ltd
NAHARCAP,Nahar Capital & Financial Services Ltd.
PRIORITY,Priority Jewels Limited
EBIX,Ebix Limited
MANAKSIA,Manaksia Limited
GANESHIN,Ganesh Infraworld Ltd.
IGCL,Indogulf Cropsciences Limited
S&SPOWER,S&S Power Switchgear Ltd.
ADISOFT,Adisoft Technologies Limited
AEPL,Artemis Electricals & Projects Limited
SHEETAL,Sheetal Universal Ltd.
AZADIND,Azad India Mobility Ltd
OMAXAUTO,Omax Autos Limited
SBGLP,Suratwwala Business Group Ltd
BASILIC,Basilic Fly Studio Ltd.
PELATRO,Pelatro Limited
DIVINEHIRA,Divine Hira Jewellers Limited
LORDSCHLO,Lords Chloro Alkali Limited
BATLIBOI,Batliboi Limited
MANOMAY,Manomay Tex India Ltd.
TECHD,Techdefence Labs Solutions Limited
NEPTUNE,Neptune Petrochemicals Limited
MANORG,Mangalam Organics Ltd
FOCUS,Focus Lighting and Fixtures Ltd
SAHYADRI,Sahyadri Industries Limited.
MIRZAINT,Mirza International Limited
NDL,Nandan Denim Limited
VINYLINDIA,Vinyl Chemicals (India) Limited
FOODSIN,Foods & Inns Ltd.
MONEYBOXX,MoneyBoxx Finance Ltd.
XTGLOBAL,XTGlobal Infotech Ltd.
ACL,Andhra Cements Limited
GOKUL,Gokul Refoils & Solvent Ltd.
JKIPL,Jinkushal Industries Limited
TEAMTECH,Teamtech Formwork Solutions Limited
PSRAJ,P S Raj Steels Ltd.
MAJESAUT,Majestic Auto Limited
BANSWRAS,Banswara Syntex Ltd
GVKPIL,GVK Power & Infrastructure Limited
DIGISPICE,DiGiSPICE Technologies Ltd.
COMMITTED,Committed Cargo Care Limited
BIRLAPREC,Birla Precision Technologies Limited
FORCAS,Forcas Studio Limited
NICCOPAR,Nicco Parks & Resorts Ltd.
CPL,Captain Polyplast Ltd.
KOTHARIPRO,Kothari Products Limited.
AUTOIND,Autoline Industries Limited
VISHNUINFR,Vishnusurya Projects & Infra Limited
MARKOLINES,Markolines Pavement Technologies Limited
MUTHOOTCAP,Muthoot Capital Services Ltd.
MENNPIS,Menon Pistons Limited
RADIANTCMS,Radiant Cash Management Services Limited
LIBERTSHOE,Liberty Shoes Limited
MADHUSUDAN,Madhusudan Masala Limited
AFIL,Akme Fintrade (India) Limited
ECOLINE,Ecoline Exim Limited
TARACHAND,Tara Chand Infralogistic Solutions Limited
PAKKA,Pakka Ltd
NIMBSPROJ,Nimbus Projects Limited
UYFINCORP,U. Y. Fincorp Limited
INNOMET,Innomet Advanced Materials Limited
RUBFILA,Rubfila International Limited
BELLACASA,Bella Casa Fashion & Retail Ltd.
UHTL,United Heat Transfer Ltd.
